div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation,start_time,end_time
,-0.34104155116172485,,-0.9842274902458457,0.10181818181818214,0.8717137042420733,-0.15366268711724196,,1,0,0.0,0.75
-0.0861387554112949,-0.06354326554064593,-0.0043025045216763536,-0.3447750791823381,0.051818181818182096,-0.1167429568645244,-0.5026669371603321,-0.18368556338350106,1,1,0.8,1.5
-0.1539401875442029,-0.06958287942223618,-0.040474589242965764,-0.6039553250857217,-0.04818181818181799,-0.4432764735114145,-1.0883806997106058,-0.0629701806377837,1,2,1.55,2.15
0.04158992718076382,0.057243550916139974,0.0007415787890906467,-0.29929283761764136,0.051818181818181874,-0.5954389304846381,-0.9358806692157491,-0.011132968445235258,1,3,2.2,2.9
,,-0.03698418023661204,,,-0.645100314924445,1.6180892463164005,0.03065617131144982,1,4,2.95,4.2
-0.15588780597098373,-0.26774014912345623,0.0663887252079185,-0.5046382968247551,-0.2981818181818173,1.2489481966525533,0.7031609987143286,0.017583204527245266,1,5,4.3,4.65
-0.12044638617691983,-0.07026902283358583,-0.020666953570595337,-0.1041495102116301,-0.048181818181818215,0.2536816972496778,0.10838328592457813,-0.06411375299003286,1,6,4.7,5.3
0.07612263189181623,0.06172282268481444,0.01594045847586356,0.3993686659319151,0.05181818181818232,0.11373824259914977,0.4719580074175953,-0.004734008775700849,1,7,5.35,6.05
-0.032259556411540435,-0.0025364603961018917,-0.006407615482013629,0.17159795876884254,-0.048181818181817326,0.20459926882002444,0.3350483264753974,0.04877385107243892,1,8,6.1,6.7
0.0284792056610208,0.08544649677908744,-0.020661591435242155,0.46705932617226886,0.10181818181818214,0.06460097758119021,0.4905114026399895,-0.03734510930987045,1,9,6.75,7.5
-0.19961746783936563,-0.26953879368526285,0.03644692290553542,-0.8514518516108402,-0.2981818181818173,0.424636437503922,-0.46796431522038784,0.012444220064940503,1,10,7.55,7.9
0.2112185763029355,0.20569622264459064,0.0017362955515162204,0.6832347339580462,0.15181818181818196,-0.25951091658266945,0.3825749162619072,0.05477774243676903,1,11,7.95,8.75
-0.17400868841506623,-0.125178066449054,-0.024561352576892403,-0.4610989636938878,-0.14818181818181786,0.0703054771711904,-0.431942387636167,0.006920208915765058,1,12,8.8,9.3
0.10812278042758217,0.1365100996187183,-0.008589683394125136,0.33815958846713046,0.20181818181818179,-0.2813320851783465,0.01567860217531436,-0.08680309295310862,1,13,9.35,10.2
0.3889555467191361,0.33540846291439763,0.005375825956245972,1.7832373061904196,0.35181818181818214,0.015907557390601124,1.7579959624675512,-0.020140365515519343,1,14,10.25,11.25
0.027113197853117388,-0.07040530620087304,0.0651853194045493,0.6671707952265409,-0.09818181818181893,1.3255713784448755,1.9515932725579468,0.017843935949780287,1,15,11.3,11.85
-0.1421202201999464,-0.12053300298869823,-0.00743303557081898,0.13561473496438903,-0.048181818181818215,0.9792846428718525,1.073750476722772,-0.14788705324855356,1,16,11.9,12.5
0.02779627319746436,0.07222276239210534,-0.014167374781863362,0.8110508149268283,0.10181818181818214,0.47973756077093244,1.2496394745842911,-0.05497675515917988,1,17,12.55,13.3
-0.3049019845948374,-0.3168974271135037,-0.01418383808266721,-0.9835866726419578,-0.34818181818181715,0.571144885168771,-0.4535906885866563,0.01805181176057835,1,18,13.35,13.65
0.09768156435354869,0.07153005042527139,0.021444325556362998,0.16510535855726327,0.15181818181818285,-0.17372507101021117,-0.049768613566417486,-0.11292997283738093,1,19,13.7,14.5
-0.12545170760276958,-0.09917212498173511,-0.008596956797278898,-0.45734009560364197,-0.048181818181818215,-0.0804185856561932,-0.5789075823733048,-0.11228558990361504,1,20,14.55,15.15
0.14140252525358954,0.10955432359112593,0.02193678697057777,0.2625166080498411,0.20181818181818356,-0.24149056526855706,-0.020122858332185523,-0.11851577063263086,1,21,15.2,16.05
-0.011473654062276961,-0.009844490611215395,0.00883858737719212,-0.022542005364716067,-0.04818181818181644,0.011803187407297688,-0.05188771907088796,0.03659380071391505,1,22,16.15,16.75
-0.010690532084979165,-0.0009943485221362014,0.004476922843758557,-0.014372435473648748,0.05181818181818143,-0.02448450076876041,-0.08000583735587874,-0.09432996764277202,1,23,16.8,17.5
-0.17559779763426386,-0.10654888277021701,-0.03492884803029733,-0.5712584343739386,0.05181818181818143,-0.21047659567395405,-0.8228839311613623,-0.24512215942574478,1,24,17.55,18.25
0.10238320768224174,0.01848546974255827,0.054224834254228305,-0.1374395127744259,0.0018181818181807197,-0.2612240204456846,-0.4398124343335801,0.002873139766830901,1,25,18.3,18.95
-0.098001119084269,-0.05826191748670417,-0.013907504740976129,-0.46478278215857016,0.05181818181818143,-0.30661168697819585,-0.8125433702502356,-0.17614078044929782,1,26,19.0,19.7
0.11115111699109881,-0.02725603787509001,0.08665588577063177,-0.21733826074138762,0.0018181818181807197,-0.13829241043206775,-0.39677957228692495,-0.06749841041416649,1,27,19.75,20.4
-0.06120640936264654,-0.02394575057377335,-0.011046142297993833,-0.311816193294731,0.0018181818181842724,-0.2727152580517265,-0.625680352459927,-0.06240566071983811,1,28,20.45,21.1
0.09458751613562177,0.08313530553560511,0.013488389979781079,0.08955270171428542,0.10181818181818214,-0.2995285035572359,-0.2511247029564201,-0.04042669763451345,1,29,21.15,21.9
-0.16492138776857956,-0.15197580698222019,-0.004982728610365417,-0.7078342279298597,0.05181818181818143,-0.17123853726923866,-0.920221666312568,-0.3100177654428923,1,30,21.95,22.65
