dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Shuffled,60.0,[ 5  9 13],"[0.4966734819343655, 0.6724206637402393, 0.7651326339871255]",[0.50134494 0.65626112 0.77666806],$r$,dfa (short)
Trace,67.0,[ 5  9 13],"[0.3551919844714843, 0.584602024416867, 0.8568382448093925]",[0.35132456 0.60147142 0.84197426],$r$,dfa (short)
Shuffled,67.0,[ 5  9 13],"[0.36837042615275384, 0.6220137681514601, 0.6942229519883455]",[0.38103198 0.5697227  0.73275497],$r$,dfa (short)
Trace,68.0,[ 5  9 13],"[0.4749599561975286, 0.5059506343925477, 0.5167105058523839]",[0.47632462 0.50219271 0.51908563],$r$,dfa (short)
Shuffled,68.0,[ 5  9 13],"[0.34517167920824093, 0.5126245472980182, 0.6550210017518588]",[0.34529514 0.51214841 0.65539554],$r$,dfa (short)
Trace,69.0,[ 5  9 13 17 21 25],"[0.5387605846723468, 0.6923911413895342, 0.7605794258071672, 0.7848972302165316, 0.803090540843915, 0.8233577975506488]",[0.56736416 0.65930431 0.7242536  0.77563733 0.81866592 0.85596088],$r$,dfa (short)
Shuffled,69.0,[ 5  9 13 17 21 25],"[0.5769438989511868, 0.8029662110679919, 0.8659944281798992, 0.9001087938018042, 0.9425602987988901, 0.994951742148956]",[0.61507178 0.74037791 0.83144264 0.90486723 0.9672406  1.0219301 ],$r$,dfa (short)
Trace,70.0,[ 5  9 13 17 21 25],"[0.47472481863094174, 0.6094489138287278, 0.676032717651091, 0.7100211370749416, 0.7369674348615466, 0.7593071108824756]",[0.49493369 0.58572247 0.65080667 0.70280539 0.74667332 0.78492358],$r$,dfa (short)
Shuffled,70.0,[ 5  9 13 17 21 25],"[0.4734432065895434, 0.7227376266832468, 0.8702843585617409, 0.9792904838208254, 1.0152260758408678, 1.0342572857073307]",[0.51009004 0.68088559 0.81572284 0.93065186 1.03247209 1.12482107],$r$,dfa (short)
Trace,79.0,[ 5  9 13 17],"[0.44075081615104517, 0.6123047498659369, 0.6803568661804291, 0.7112284882355767]",[0.45653952 0.57678576 0.66763099 0.74280919],$r$,dfa (short)
Shuffled,79.0,[ 5  9 13 17],"[0.4569349215500887, 0.771123027353871, 0.9407907279265392, 1.0413595865353296]",[0.47818292 0.71402799 0.91758659 1.10183209],$r$,dfa (short)
Trace,80.0,[ 5  9 13 17],"[0.5283321432891405, 0.6032567281547698, 0.6577357458607497, 0.6943223859700131]",[0.52868037 0.60339259 0.6554117  0.69616866],$r$,dfa (short)
Shuffled,80.0,[ 5  9 13 17],"[0.4831569343308119, 0.6693523373509995, 0.7716933143232159, 0.9362908441097485]",[0.48370984 0.65836331 0.79840385 0.91902083],$r$,dfa (short)
Trace,81.0,[ 5  9 13],"[0.3937399350956777, 0.6300291369143604, 0.7949799035573876]",[0.39751529 0.61459882 0.80719914],$r$,dfa (short)
Shuffled,81.0,[ 5  9 13],"[0.4211590814750833, 0.5316495174537688, 0.5612620877770912]",[0.42718115 0.51239357 0.57414495],$r$,dfa (short)
Trace,82.0,[ 5  9 13],"[0.6080393615081133, 0.6569660664729342, 0.6583198627588154]",[0.61242665 0.64480677 0.66592898],$r$,dfa (short)
Shuffled,82.0,[ 5  9 13],"[0.4183781782940364, 0.6798630570945793, 0.8517191795506662]",[0.42349425 0.6587272  0.86842794],$r$,dfa (short)
Trace,102.0,[ 5  9 13],"[0.382525244713828, 0.6283957472901476, 0.68359522689117]",[0.39619109 0.57361569 0.72304718],$r$,dfa (short)
Shuffled,102.0,[ 5  9 13],"[0.44470138682276045, 0.6056209238214587, 0.6239334922294373]",[0.45611664 0.56702043 0.64973017],$r$,dfa (short)
Trace,111.0,[ 5  9 13 17 21 25],"[0.5585353690389111, 0.7227950399727994, 0.7734215002744105, 0.7971014192550467, 0.8298929539085586, 0.8409947240314914]",[0.58916898 0.68042802 0.74457636 0.79515787 0.83740838 0.87395494],$r$,dfa (short)
Shuffled,111.0,[ 5  9 13 17 21 25],"[0.4552591259669506, 0.6875192829772305, 0.9349609639454326, 1.1451210558793923, 1.2896679043714538, 1.3859290382288367]",[0.4599025  0.6996184  0.90958729 1.10153377 1.28084629 1.45057805],$r$,dfa (short)
Trace,112.0,[ 5  9 13 17 21 25],"[0.4585586282632332, 0.6007137307019936, 0.6780766300708804, 0.6982371420116917, 0.72191627250316, 0.7415525515635717]",[0.4835456  0.57413375 0.6392464  0.6913602  0.7353842  0.77381197],$r$,dfa (short)
Shuffled,112.0,[ 5  9 13 17 21 25],"[0.5347789757031184, 0.656387466703866, 0.7294102587659714, 0.812620593974017, 0.8624585991988014, 0.8810290489320682]",[0.53965434 0.65111531 0.7322704  0.79778726 0.85349602 0.9023793 ],$r$,dfa (short)
Trace,119.0,[ 5  9 13 17 21],"[0.5072741481566827, 0.6603126183436614, 0.7679325409936948, 0.8062927124606215, 0.8108031435989621]",[0.52570385 0.64231393 0.7280802  0.79778997 0.85736799],$r$,dfa (short)
Shuffled,119.0,[ 5  9 13 17 21],"[0.43565602233262574, 0.7308726063214692, 0.9166719151990708, 1.0366162195368749, 1.1458744502990617]",[0.46012026 0.68281755 0.87408759 1.0466382  1.20622077],$r$,dfa (short)
Trace,120.0,[ 5  9 13 17 21 25],"[0.43227299153963294, 0.6153317093808763, 0.6780025717982984, 0.7564703207053357, 0.8228447982518272, 0.864227958001331]",[0.45119032 0.5776132  0.67414109 0.75459138 0.82466583 0.88735899],$r$,dfa (short)
Shuffled,120.0,[ 5  9 13 17 21 25],"[0.46088707407682333, 0.7321834449320433, 0.8979604941482929, 1.0833559132128188, 1.2895204241186433, 1.4645670465360165]",[0.46614112 0.70579116 0.91492445 1.10562829 1.28344177 1.45149696],$r$,dfa (short)
Trace,127.0,[ 5  9 13 17],"[0.47440037472450236, 0.6288285359234856, 0.6516887314834862, 0.6822333429015333]",[0.49234089 0.58529584 0.65217577 0.70573948],$r$,dfa (short)
Shuffled,127.0,[ 5  9 13 17],"[0.4100773699851628, 0.6832551165223203, 0.8904238183877017, 1.01023451948899]",[0.42187698 0.6554194  0.86341438 1.05570668],$r$,dfa (short)
Trace,128.0,[ 5  9 13 17],"[0.4934458500198306, 0.7025610992492837, 0.7306740490887179, 0.7545628546605921]",[0.51984448 0.63772531 0.72470769 0.79555966],$r$,dfa (short)
Shuffled,128.0,[ 5  9 13 17],"[0.502462297904321, 0.6086025839805097, 0.6541245411173039, 0.6679206667376861]",[0.51251381 0.58975372 0.64388903 0.68649173],$r$,dfa (short)
Trace,129.0,[ 5  9 13 17 21 25],"[0.503229640953428, 0.6258893802772996, 0.6797813118635949, 0.7377536327273346, 0.7718422203512525, 0.7944756928404821]",[0.51521718 0.60845143 0.67517626 0.72842569 0.77331051 0.81242062],$r$,dfa (short)
Shuffled,129.0,[ 5  9 13 17 21 25],"[0.5381851596830614, 0.7386782875540692, 0.7714068341370159, 0.8248120411692577, 0.872557482627057, 0.8861463601275477]",[0.57112376 0.68026936 0.75892063 0.82197765 0.87531476 0.92192008],$r$,dfa (short)
Trace,130.0,[ 5  9 13 17 21],"[0.502898863838141, 0.6743943160821989, 0.7359349720243017, 0.7763503208595803, 0.8075104349586072]",[0.52496998 0.63560761 0.71638887 0.78172625 0.83736114],$r$,dfa (short)
Shuffled,130.0,[ 5  9 13 17 21],"[0.47331501514605284, 0.7155984012270796, 0.8892606446818208, 1.045311880371947, 1.1688495887066401]",[0.48202438 0.69823083 0.88039656 1.04262058 1.19118873],$r$,dfa (short)
Trace,137.0,[ 5  9 13],"[0.3902969070953892, 0.6511655670532581, 0.6959012915560306]",[0.40596411 0.58786481 0.74108678],$r$,dfa (short)
Shuffled,137.0,[ 5  9 13],"[0.4953053272673554, 0.6685097046979696, 0.748983449022644]",[0.50101762 0.64888462 0.76283825],$r$,dfa (short)
Trace,138.0,[ 5  9 13],"[0.5044227504286994, 0.6843541686090975, 0.7552643960982102]",[0.51169168 0.65937882 0.77273617],$r$,dfa (short)
Shuffled,138.0,[ 5  9 13],"[0.4633154324559688, 0.8133807810600787, 1.0012128886831515]",[0.47380213 0.76742586 1.03768053],$r$,dfa (short)
Trace,143.0,[ 5  9 13],"[0.5127753245455026, 0.5625633559508876, 0.6287925889386392]",[0.50855222 0.57478298 0.62053533],$r$,dfa (short)
Shuffled,143.0,[ 5  9 13],"[0.5420234934749962, 0.646457422888832, 0.6923710140107744]",[0.54553306 0.6357064  0.69955079],$r$,dfa (short)
Trace,144.0,[ 5  9 13],"[0.47057801723957216, 0.585859305699558, 0.6177340511444007]",[0.47675606 0.56633609 0.63074825],$r$,dfa (short)
Shuffled,144.0,[ 5  9 13],"[0.4910484222816439, 0.7157160444347166, 0.959525146768514]",[0.48669187 0.73248262 0.945954  ],$r$,dfa (short)
Trace,163.0,[ 5  9 13 17 21],"[0.4981771969366074, 0.705177426938066, 0.813301555074582, 0.8420948627368369, 0.8687449776711643]",[0.52692817 0.66261972 0.76475193 0.84905921 0.92196162],$r$,dfa (short)
Shuffled,163.0,[ 5  9 13 17 21],"[0.4417551534283252, 0.6873054043894323, 0.7837464384272578, 0.8287898319024045, 0.8438109586487442]",[0.47781709 0.62322495 0.7359183  0.8307878  0.91405076],$r$,dfa (short)
Trace,164.0,[ 5  9 13 17 21],"[0.46921739012432095, 0.5734950686082204, 0.5999948285164924, 0.659316354809213, 0.6911838896113379]",[0.4755264  0.55518385 0.6116693  0.65647008 0.69405786],$r$,dfa (short)
Shuffled,164.0,[ 5  9 13 17 21],"[0.3803668665937549, 0.7365318561961244, 0.9032423692403666, 1.0052499962990786, 1.1668356816742886]",[0.41521536 0.64782862 0.85569605 1.04830906 1.23009851],$r$,dfa (short)
Trace,167.0,[ 5  9 13 17 21],"[0.47909113137731346, 0.59599648572519, 0.6618296993905758, 0.6567068375328733, 0.6580114625703218]",[0.50061776 0.57211438 0.62194727 0.66101896 0.693516  ],$r$,dfa (short)
Shuffled,167.0,[ 5  9 13 17 21],"[0.5161982501001418, 0.7012363809938625, 0.843793724639201, 0.9383862414004215, 1.036116714624821]",[0.52186381 0.69396515 0.82942263 0.9446456  1.04656919],$r$,dfa (short)
Trace,168.0,[ 5  9 13 17 21],"[0.408013154567556, 0.5784028913438037, 0.6636016528555498, 0.7979814568022577, 0.8555159295719127]",[0.41371326 0.56099432 0.67873607 0.7799442  0.87018302],$r$,dfa (short)
Shuffled,168.0,[ 5  9 13 17 21],"[0.3484461676450071, 0.5791097449547903, 0.808798944774637, 0.9596377493792573, 1.0149240699204418]",[0.36147079 0.56941357 0.75664938 0.93103649 1.09626515],$r$,dfa (short)
Trace,5.0,[ 5  9 13 17],"[0.5776367456350673, 0.6830080048197817, 0.7410115829933144, 0.7952862541342448]",[0.58034046 0.67591833 0.74356112 0.79714134],$\phi$,dfa (short)
Shuffled,5.0,[ 5  9 13 17],"[0.4722078151169002, 0.7297685630934587, 0.8984033030069655, 0.9751389709541968]",[0.48744102 0.69598645 0.8696995  1.02320841],$\phi$,dfa (short)
Trace,6.0,[ 5  9 13],"[0.23126754532506746, 0.6373748404998258, 0.7939149550741723]",[0.24662657 0.5393032  0.87985425],$\phi$,dfa (short)
