dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.23786346455387447,-0.9560764762153734,0.02082853177078411,$r$,dfa (short)
Shuffled,1.0,0.581316061271023,-1.7271858340133834,0.0066388667019378275,$r$,dfa (short)
Trace,2.0,0.6826098786582491,-2.4553474612771304,0.012738113036878138,$r$,dfa (short)
Shuffled,2.0,0.6139670715259511,-2.097403623912243,0.011062300970741309,$r$,dfa (short)
Trace,3.0,0.26293868529921466,-1.141120331107487,0.011671428326523962,$r$,dfa (short)
Shuffled,3.0,0.4652586962027535,-1.4021635446927818,0.017203431462674793,$r$,dfa (short)
Trace,4.0,0.278414711684923,-1.102274746554095,0.051743309124486575,$r$,dfa (short)
Shuffled,4.0,0.4870699907452793,-1.4969202387326608,0.030553465099070323,$r$,dfa (short)
Trace,5.0,0.5037861126239522,-1.7972674449655068,0.03605891597207371,$r$,dfa (short)
Shuffled,5.0,0.605179782604173,-1.8871398787676887,0.08287830059433693,$r$,dfa (short)
Trace,6.0,0.2876989797083336,-1.2214281213884997,0.015174388735156275,$r$,dfa (short)
Shuffled,6.0,0.4589303883195946,-1.4439209697114848,0.008202814329383292,$r$,dfa (short)
Trace,7.0,0.3306200960071017,-1.32938874338085,0.11434457059082816,$r$,dfa (short)
Shuffled,7.0,0.3078889835509748,-1.235075521909944,0.10639890636432515,$r$,dfa (short)
Trace,8.0,0.2909446929739894,-1.1471902806020835,0.019981816113272585,$r$,dfa (short)
Shuffled,8.0,0.48956626919557106,-1.5405196110413728,0.012888286509497058,$r$,dfa (short)
Trace,9.0,0.38214752497245325,-1.3706790088361067,0.0302997971004112,$r$,dfa (short)
Shuffled,9.0,0.4176966295405287,-1.3886904240925295,0.028732352077840587,$r$,dfa (short)
Trace,10.0,0.2933421022153131,-1.1519555364908312,0.0161420067250766,$r$,dfa (short)
Shuffled,10.0,0.728597285721123,-2.112491292346592,0.011564695461897196,$r$,dfa (short)
Trace,11.0,0.357786779691007,-1.2924160211829323,0.016255883231424743,$r$,dfa (short)
Shuffled,11.0,0.5806320109094306,-1.7089248982580263,0.005529214949363559,$r$,dfa (short)
Trace,12.0,0.5406344347984016,-1.849241527102356,0.02567744388223722,$r$,dfa (short)
Shuffled,12.0,0.608739051380813,-1.7740475154610105,0.03357116395791792,$r$,dfa (short)
Trace,13.0,0.33068932961244724,-1.3115961460613355,0.005896214685811263,$r$,dfa (short)
Shuffled,13.0,0.4232475998844088,-1.3203312729189052,0.02338411822600631,$r$,dfa (short)
Trace,14.0,0.49829872622121824,-1.7517521536774423,0.03088977450889409,$r$,dfa (short)
Shuffled,14.0,0.5842407412278863,-1.9655129929644868,0.04066360055641128,$r$,dfa (short)
Trace,16.0,0.3650875423677913,-1.3522528278902275,0.018460243343470153,$r$,dfa (short)
Shuffled,16.0,0.532508127273145,-1.692957625635063,0.010715728051329549,$r$,dfa (short)
Trace,17.0,0.5523094185143741,-1.9980527642520287,0.021029334685661927,$r$,dfa (short)
Shuffled,17.0,0.8139999763544501,-2.419675119519072,0.045081606290858396,$r$,dfa (short)
Trace,18.0,0.28300905726740977,-1.1386384706026231,0.006794073548352588,$r$,dfa (short)
Shuffled,18.0,0.4152061269357991,-1.2661024237084142,0.025418788953569204,$r$,dfa (short)
Trace,19.0,0.3351323101761052,-1.2110771631822401,0.07011959779501954,$r$,dfa (short)
Shuffled,19.0,0.4460973306785135,-1.3010103017552894,0.02188083996190594,$r$,dfa (short)
Trace,20.0,0.3232172119989543,-1.1269005615884666,0.018118835922937646,$r$,dfa (short)
Shuffled,20.0,0.4117286221688671,-1.2986219934643015,0.030873029846574144,$r$,dfa (short)
Trace,21.0,0.28716536283870864,-1.1262336186718167,0.010413971724098484,$r$,dfa (short)
Shuffled,21.0,0.4358958669618664,-1.337786414623254,0.017046233028073655,$r$,dfa (short)
Trace,22.0,0.2817084464643181,-1.2475607489871317,0.012561664349616407,$r$,dfa (short)
Shuffled,22.0,0.4601833401885239,-1.5510465828310818,0.008552388032060279,$r$,dfa (short)
Trace,23.0,0.39375464419654205,-1.3406260631098172,0.014978734141512021,$r$,dfa (short)
Shuffled,23.0,0.2751852429260586,-1.0741894078495537,0.034238058651321956,$r$,dfa (short)
Trace,24.0,0.6223750525589354,-1.8475983587824105,0.021254736116120013,$r$,dfa (short)
Shuffled,24.0,0.7279785908027905,-2.102696882746997,0.027015050111222592,$r$,dfa (short)
Trace,25.0,0.545393560005772,-1.7008685270198405,0.03816630890943933,$r$,dfa (short)
Shuffled,25.0,0.5349589693267126,-1.5421360028023885,0.03707652180720944,$r$,dfa (short)
Trace,26.0,0.08784698775048091,-0.8570579143185154,0.05038348897310526,$r$,dfa (short)
Shuffled,26.0,0.7542308294002992,-2.1652210380725223,0.04303203770827356,$r$,dfa (short)
Trace,27.0,0.2575996214818336,-1.120087131459447,0.011744019656660403,$r$,dfa (short)
Shuffled,27.0,0.42369319194336935,-1.2918556105390675,0.03024785786229809,$r$,dfa (short)
Trace,28.0,0.31948056522083673,-1.2402406388302873,0.012940867272293169,$r$,dfa (short)
Shuffled,28.0,0.46678537030865885,-1.5089742188032944,0.024000290601387756,$r$,dfa (short)
Trace,29.0,0.5176166715383616,-1.6913209177155757,0.012889063160855113,$r$,dfa (short)
Shuffled,29.0,0.6978861598555041,-2.106951819701318,0.017622937016491803,$r$,dfa (short)
Trace,30.0,0.3629988605391916,-1.3019925567822896,0.008972444083252576,$r$,dfa (short)
Shuffled,30.0,0.47901979719367593,-1.491007796959142,0.14199649958944044,$r$,dfa (short)
Trace,34.0,0.3912963541249049,-1.657372494443999,0.018699101342665458,$r$,dfa (short)
