dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Shuffled,25.0,[ 5  9 13 17],"[0.44668134066037535, 0.6262386319386402, 0.80518194260065, 0.9626845061835486]",[0.44191872 0.63924435 0.80531797 0.95310114],$r$,dfa (short)
Trace,30.0,[ 5  9 13 17],"[0.5516548808188515, 0.6062828297343786, 0.6603013228798905, 0.6704219751891431]",[0.55230382 0.60957615 0.64838846 0.67825319],$r$,dfa (short)
Shuffled,30.0,[ 5  9 13 17],"[0.5448969695110261, 0.7608908559184024, 0.8491642627690476, 0.9540490891763665]",[0.55699996 0.72636204 0.8575997  0.96806887],$r$,dfa (short)
Trace,31.0,[ 5  9 13 17 21 25 29 33],"[0.4258612258462429, 0.6370107640930521, 0.783944973503344, 0.8272614107795259, 0.8577053761758574, 0.8965636602792841, 0.9253164543560216, 0.9496726365389786]","[0.47636401 0.60338978 0.69955583 0.77924789 0.84836259 0.9099823
 0.96595083 1.01747162]",$r$,dfa (short)
Shuffled,31.0,[ 5  9 13 17 21 25 29 33],"[0.47769851404420116, 0.6455522299852159, 0.7633747842240698, 0.8711935837696078, 0.9426050017522972, 1.0056222922994504, 1.0449803479842563, 1.074556567834655]","[0.494386   0.63842492 0.74916896 0.84189854 0.92295369 0.99567696
 1.06208119 1.12348733]",$r$,dfa (short)
Trace,32.0,[ 5  9 13 17 21 25],"[0.380415578645304, 0.5827779631000358, 0.6778565071337602, 0.7750068138864926, 0.8594966131681323, 0.9194129843790588]",[0.39872485 0.54728811 0.66721224 0.77097104 0.86394207 0.94903778],$r$,dfa (short)
Shuffled,32.0,[ 5  9 13 17 21 25],"[0.34836955691987564, 0.6298388542981378, 0.7835377197116741, 0.8886941258407607, 0.9832391476396906, 1.0711629189900025]",[0.38201538 0.56943824 0.73098062 0.87706032 1.01240527 1.13967065],$r$,dfa (short)
Trace,33.0,[ 5  9 13 17 21],"[0.5167037907424948, 0.7664783133844282, 0.8710975389739081, 0.9226110671619775, 0.955636012320819]",[0.55047404 0.7075582  0.82788387 0.92838527 1.01606807],$r$,dfa (short)
Shuffled,33.0,[ 5  9 13 17 21],"[0.4547013322370042, 0.6676165522431755, 0.8541873222376222, 1.0117354566994596, 1.1079583790512015]",[0.45911981 0.66575102 0.83999422 0.9952502  1.1374974 ],$r$,dfa (short)
Trace,34.0,[ 5  9 13 17],"[0.46609586829299593, 0.6355777442883638, 0.7434625667677017, 0.8397187576776626]",[0.47051353 0.62385842 0.74427235 0.84653877],$r$,dfa (short)
Shuffled,34.0,[ 5  9 13 17],"[0.4685063111081197, 0.7170938729841863, 0.8829135914713293, 0.9741086501581104]",[0.48129028 0.68822032 0.86079031 1.01340982],$r$,dfa (short)
Trace,36.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53],"[0.4672132168534378, 0.6495296975098762, 0.7032520310484693, 0.7368366994267347, 0.7954913056341698, 0.8213672700898267, 0.8532608965751606, 0.8924655172570833, 0.9132549087123496, 0.9342734919899095, 0.9572665018435055, 0.9694584650587824, 0.9832268776476335]","[0.51222929 0.60710678 0.67520471 0.7296555  0.77562031 0.81571875
 0.85148225 0.88389163 0.9136167  0.94113726 0.96680995 0.99090784
 1.01364508]",$r$,dfa (short)
Shuffled,36.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53],"[0.4568684508414615, 0.6709212052520155, 0.7952350370329619, 0.8885863451874124, 0.9403827502883036, 0.9949265927361711, 1.0428889810288489, 1.075837969071422, 1.103647761903678, 1.1326493849073913, 1.1569837585934242, 1.1809809333740753, 1.204804838050971]","[0.51979778 0.64976753 0.74712676 0.82723692 0.89634232 0.95768801
 1.01320633 1.06415373 1.11139942 1.15557306 1.19714742 1.2364877
 1.27388272]",$r$,dfa (short)
Trace,38.0,[ 5  9 13],"[0.4985433462953252, 0.6824408513898554, 0.810365171347485]",[0.50045075 0.6757028  0.81532667],$r$,dfa (short)
Shuffled,38.0,[ 5  9 13],"[0.41244907885183524, 0.753910985245321, 1.0533804798986908]",[0.4151996  0.74100212 1.06463148],$r$,dfa (short)
Trace,39.0,[ 5  9 13 17 21 25 29 33 37 41],"[0.49420743485937957, 0.7526438267615261, 0.8880430602110744, 0.9570900316504427, 1.009699490634716, 1.049024004156068, 1.074874864931374, 1.0981586074311915, 1.1157805147292588, 1.1278518082117113]","[0.57138371 0.70653162 0.80689146 0.88898948 0.95949747 1.02186601
 1.07814211 1.12965268 1.17731325 1.22178554]",$r$,dfa (short)
Shuffled,39.0,[ 5  9 13 17 21 25 29 33 37 41],"[0.45386160891183674, 0.757308953707183, 0.8822888861750064, 0.9626226047418243, 1.035760381255188, 1.1028317184061818, 1.1781879605062242, 1.2592425639999187, 1.3386326625546492, 1.4139623365971699]","[0.51187186 0.68229848 0.81669268 0.93115717 1.03250764 1.12438805
 1.20901688 1.28786321 1.36195928 1.43206308]",$r$,dfa (short)
Trace,44.0,[ 5  9 13 17 21 25 29],"[0.3762254098732266, 0.604302421047517, 0.7601338968956687, 0.8549255792006264, 0.9242789385081596, 1.0022713179367913, 1.066867820487947]","[0.4067297  0.57120175 0.70640972 0.82483625 0.93194022 1.03070809
 1.12299101]",$r$,dfa (short)
Shuffled,44.0,[ 5  9 13 17 21 25 29],"[0.4401959651382886, 0.644726271993826, 0.8609772741828478, 1.0251055898879806, 1.1250049065952457, 1.2294198944534125, 1.3203903845640865]","[0.45052879 0.65399145 0.82570827 0.97880064 1.11912627 1.24993672
 1.37327052]",$r$,dfa (short)
Trace,48.0,[ 5  9 13],"[0.47976328531972057, 0.6436061722650872, 0.7450785048246296]",[0.48255391 0.63397945 0.75201799],$r$,dfa (short)
Shuffled,48.0,[ 5  9 13],"[0.4775335031509909, 0.5976645922451257, 0.6664496042236938]",[0.47986824 0.59013803 0.67166555],$r$,dfa (short)
Trace,50.0,[ 5  9 13 17 21 25 29],"[0.5393326405016072, 0.6811357007543783, 0.736167237388652, 0.821603037974355, 0.8654516385909223, 0.870835765794283, 0.8795132642591897]","[0.55936094 0.6610636  0.73389154 0.79203428 0.84105825 0.88378513
 0.92186286]",$r$,dfa (short)
Shuffled,50.0,[ 5  9 13 17 21 25 29],"[0.46856658054908024, 0.7148679554790448, 0.7994602408341269, 0.8754671830791872, 0.938880286712757, 0.9802601326444761, 1.039305620651045]","[0.50871162 0.65404333 0.76538915 0.85840277 0.93956116 1.01227241
 1.07858573]",$r$,dfa (short)
Trace,53.0,[ 5  9 13 17 21 25 29 33 37 41],"[0.4243649970881475, 0.5629282303721114, 0.6572129697586228, 0.7201913719225552, 0.7721302583213182, 0.8265864795286464, 0.8312285924177799, 0.8379277366196858, 0.8454620063551149, 0.8440319799617034]","[0.45949912 0.55720108 0.62862625 0.68644441 0.73570769 0.77900647
 0.81786713 0.85327362 0.88590163 0.91623752]",$r$,dfa (short)
