dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,12.0,[ 5  9 13 17 21 25],"[0.5258610383880372, 0.6881973852080152, 0.7932125239879302, 0.8397676725252795, 0.8461532964123726, 0.8576716942051135]",[0.5550284  0.66512368 0.74484737 0.8089734  0.86334884 0.91095599],$r$,dfa (short)
Shuffled,12.0,[ 5  9 13 17 21 25],"[0.4937040831644743, 0.6755635015903382, 0.8774625315176533, 1.0304141668488447, 1.2012335540037982, 1.3274678479779078]",[0.48343935 0.69780871 0.8779201  1.03801132 1.18441613 1.32064165],$r$,dfa (short)
Trace,13.0,[ 5  9 13 17 21 25],"[0.47983409831440443, 0.5949220284494122, 0.7019654378128365, 0.7428216535438023, 0.7772347810162648, 0.7974865871358228]",[0.49127012 0.59424099 0.6693671  0.73009947 0.7817932  0.82719103],$r$,dfa (short)
Shuffled,13.0,[ 5  9 13 17 21 25],"[0.43746458020959483, 0.7717040769281329, 0.8854695483101663, 0.9663894915931178, 1.096044296394822, 1.2124548643638011]",[0.47871455 0.67946443 0.84589353 0.99249688 1.12565547 1.24887656],$r$,dfa (short)
Trace,14.0,[ 5  9 13 17 21 25],"[0.5016525709336855, 0.6284465486763059, 0.7022070703735385, 0.7371247533343444, 0.7672880577953465, 0.7824249881832335]",[0.51949773 0.61113449 0.67651198 0.72857745 0.77239518 0.81052706],$r$,dfa (short)
Shuffled,14.0,[ 5  9 13 17 21 25],"[0.4521811718851832, 0.5999320489258417, 0.6889152075994518, 0.7784185085457506, 0.899428540157079, 1.0108192963623561]",[0.44622534 0.59341829 0.70927646 0.80783104 0.89501229 0.97398756],$r$,dfa (short)
Trace,15.0,[ 5  9 13 17 21],"[0.5588444663098, 0.7061626096715762, 0.7876893588874975, 0.8791565836526842, 0.9371103526956706]",[0.56298694 0.69541828 0.79367804 0.87401275 0.94297692],$r$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21],"[0.5062254493348889, 0.7336001585861524, 0.8911904166670813, 0.9326617457396527, 0.9225533745290662]",[0.53826527 0.69635288 0.81807504 0.9200965  1.00933959],$r$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25 29 33 37],"[0.3380343291868944, 0.5207451204341805, 0.597578846688964, 0.6666360670237463, 0.7709134836539805, 0.8260050639608038, 0.8793775410459355, 0.9667623805482619, 1.0224979609194333]","[0.35546125 0.48507171 0.58921223 0.67903409 0.75932718 0.83267907
 0.90067787 0.96438228 1.02454043]",$r$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25 29 33 37],"[0.3063067720580858, 0.5315897004214765, 0.687020278486384, 0.755094334981799, 0.7720923025090701, 0.7779177074673099, 0.7888086968420082, 0.8086970736201506, 0.8314538938818473]","[0.37703124 0.49137852 0.5799433  0.65446873 0.71985549 0.7786978
 0.83256282 0.88248174 0.92917514]",$r$,dfa (short)
Trace,17.0,[ 5  9 13 17 21 25 29],"[0.46473733803907863, 0.6602047765153615, 0.7277390876744961, 0.7660161414446165, 0.7675842045935881, 0.7701504328065806, 0.7698902491932784]","[0.51776984 0.60732888 0.67107436 0.72176048 0.76436681 0.8014091
 0.83435283]",$r$,dfa (short)
Shuffled,17.0,[ 5  9 13 17 21 25 29],"[0.5165208903256981, 0.724882545752718, 0.8061377163018623, 0.8830578553850579, 0.9682019440508305, 1.052742605714655, 1.1346087472861828]","[0.53339753 0.68505909 0.80115655 0.89808459 0.98262226 1.05833495
 1.12736567]",$r$,dfa (short)
Trace,18.0,[ 5  9 13 17 21 25 29 33],"[0.4102080075779201, 0.6135893731326599, 0.7634949039485217, 0.8424221978355244, 0.9214966721523485, 1.0037951503851377, 1.0542627933292028, 1.0943067738122652]","[0.43862807 0.59247145 0.71507873 0.82024965 0.91387392 0.99911889
 1.07792168 1.15156994]",$r$,dfa (short)
Shuffled,18.0,[ 5  9 13 17 21 25 29 33],"[0.46082397095756217, 0.6729007126072323, 0.8703866670935622, 1.0297362004202737, 1.1135588593029708, 1.1824968872820125, 1.2334767835275564, 1.25199736700651]","[0.49030813 0.67449752 0.82344441 0.952468   1.06818172 1.17417091
 1.27264221 1.36507   ]",$r$,dfa (short)
Trace,19.0,[ 5  9 13 17 21 25 29],"[0.47568168405934397, 0.6166242647521878, 0.6703147967686176, 0.6750037198041376, 0.6848941941669527, 0.6838972313822421, 0.6801700935282644]","[0.51769233 0.57917583 0.62130065 0.65395219 0.68087525 0.70392236
 0.72415511]",$r$,dfa (short)
Shuffled,19.0,[ 5  9 13 17 21 25 29],"[0.47385229133222834, 0.6388175894354102, 0.7381365560656695, 0.84068867968855, 0.8772528759239483, 0.9095521992884644, 0.9296137923240231]","[0.49603479 0.62309587 0.71864917 0.79747986 0.86561655 0.92619898
 0.98109993]",$r$,dfa (short)
Trace,20.0,[ 5  9 13 17 21 25 29 33],"[0.37633758680864765, 0.5261469374510587, 0.6651690462392915, 0.7123044216566674, 0.7544695692411324, 0.8284494041929179, 0.8701525761241867, 0.9087136678409736]","[0.39686126 0.51917444 0.61419461 0.694314   0.76471638 0.82815042
 0.88627873 0.94019648]",$r$,dfa (short)
Shuffled,20.0,[ 5  9 13 17 21 25 29 33],"[0.3338839922926003, 0.4976054402996036, 0.5982145428932849, 0.6854519490937713, 0.761880348479001, 0.8400651384837058, 0.8979488858657998, 0.9423351749295622]","[0.34817134 0.47925412 0.5853066  0.67720305 0.75963976 0.8351634
 0.90534167 0.97122221]",$r$,dfa (short)
Trace,21.0,[ 5  9 13 17 21],"[0.5162126985012081, 0.6175163201410458, 0.6420010879031035, 0.6724766552862089, 0.6772664643994788]",[0.53076725 0.59313272 0.63582284 0.66889238 0.69614755],$r$,dfa (short)
Shuffled,21.0,[ 5  9 13 17 21],"[0.43027780805518084, 0.6890200455734136, 0.83182009399852, 0.960102422967892, 1.0931345432166113]",[0.4464537  0.64954661 0.82126009 0.97453536 1.11515781],$r$,dfa (short)
Trace,22.0,[ 5  9 13 17 21],"[0.41673455717489327, 0.5421339467539382, 0.5680964274914507, 0.5732304587882228, 0.5858475983122496]",[0.43988032 0.50324492 0.54744822 0.58212614 0.61098143],$r$,dfa (short)
Shuffled,22.0,[ 5  9 13 17 21],"[0.4960829105735729, 0.6529228060127151, 0.7519533131877815, 0.8715551324146128, 0.9341646303142361]",[0.49795317 0.64666977 0.76152733 0.85799315 0.94250768],$r$,dfa (short)
Trace,23.0,[ 5  9 13 17 21 25 29 33],"[0.493272956171842, 0.6609060846835382, 0.7373920420007753, 0.7646174015583963, 0.7833860425206206, 0.8121662058386826, 0.8385565960516821, 0.8439322289062856]","[0.53437096 0.62504304 0.68943498 0.74055772 0.78348196 0.82076633
 0.85389981 0.88383244]",$r$,dfa (short)
Shuffled,23.0,[ 5  9 13 17 21 25 29 33],"[0.5110981997791371, 0.6075508878115832, 0.6921753164914944, 0.7337076061380693, 0.7859851584396631, 0.8503179665874071, 0.919153707254538, 0.977744280156004]","[0.50107947 0.61024998 0.69033622 0.75531613 0.81077874 0.85959517
 0.90345979 0.94346616]",$r$,dfa (short)
Trace,24.0,[ 5  9 13 17],"[0.49413368342256225, 0.6073728611974009, 0.6933235022326137, 0.7601771366601558]",[0.49408104 0.60793348 0.69214502 0.76085031],$r$,dfa (short)
Shuffled,24.0,[ 5  9 13 17],"[0.4738269383299773, 0.678200547223661, 0.8320602976136819, 0.9684822520289708]",[0.47633219 0.67133885 0.83210376 0.97318444],$r$,dfa (short)
Trace,25.0,[ 5  9 13 17 21],"[0.400795131926962, 0.5632651737988535, 0.5665255779419269, 0.5451382857326212, 0.5459027622768365]",[0.4400098  0.49460775 0.53215845 0.56133907 0.58544667],$r$,dfa (short)
Shuffled,25.0,[ 5  9 13 17 21],"[0.4085373686071642, 0.6077310533117735, 0.7829515919588513, 0.9507647893294463, 1.0576517966070864]",[0.40984122 0.60867744 0.77955918 0.93378113 1.07645756],$r$,dfa (short)
Trace,26.0,[ 5  9 13 17 21 25 29],"[0.5127539193379945, 0.8541359854130753, 0.98231460397287, 1.0059682487853339, 1.0548260298406045, 1.0765926057879276, 1.0893450625167613]","[0.5949376  0.75160871 0.86996923 0.96791557 1.05277126 1.12836006
 1.19696725]",$r$,dfa (short)
