dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,10.0,[ 5  9 13 17 21 25 29 33],"[0.43884845924066024, 0.5956178019872308, 0.710594534726897, 0.7636575356635085, 0.7636962327286351, 0.7576704480209983, 0.7513334963131317, 0.7493936833986925]","[0.491712   0.57811443 0.63972898 0.68878248 0.73005571 0.76596649
 0.79792439 0.8268301 ]",$r$,dfa (short)
Shuffled,10.0,[ 5  9 13 17 21 25 29 33],"[0.37767668764511053, 0.547270460281574, 0.6118392369327543, 0.6714441717596631, 0.710776027856051, 0.7419464506004313, 0.7580839794954044, 0.7725195600468237]","[0.41243031 0.51089382 0.584117   0.64407384 0.69560383 0.74121187
 0.78238488 0.82008721]",$r$,dfa (short)
Trace,11.0,[ 5  9 13 17 21 25 29 33],"[0.43243511015483804, 0.5812527933932768, 0.6648597032504939, 0.7075763197466303, 0.7471861305138732, 0.8024393413946218, 0.8387401330139096, 0.8749649197370922]","[0.45307641 0.55891753 0.63736535 0.70145694 0.75644761 0.80505249
 0.84888099 0.88897566]",$r$,dfa (short)
Shuffled,11.0,[ 5  9 13 17 21 25 29 33],"[0.4680606683496279, 0.6377797032445764, 0.7760068692264348, 0.9369850413852021, 1.0314644981177317, 1.123187703489498, 1.2324074571822896, 1.3028292492125069]","[0.46595492 0.64384135 0.78819973 0.91354587 1.02616377 1.12946682
 1.22555902 1.31584797]",$r$,dfa (short)
Trace,12.0,[ 5  9 13 17 21 25 29 33],"[0.42339462014898255, 0.69297732893827, 0.8405219500164322, 0.8822103077887115, 0.931931620603578, 0.972604388799456, 0.9810258294800829, 0.986786524161563]","[0.49307628 0.6322826  0.73871213 0.82749386 0.90487733 0.97414716
 1.03727653 1.09555781]",$r$,dfa (short)
Shuffled,12.0,[ 5  9 13 17 21 25 29 33],"[0.4346329119392172, 0.6359616461854342, 0.859341176082872, 1.0256928122366769, 1.1543718682592699, 1.2806363514836583, 1.3942847685435695, 1.4812855129213425]","[0.44172687 0.65105132 0.82986269 0.99058442 1.13881533 1.27768414
 1.40916264 1.53459432]",$r$,dfa (short)
Trace,13.0,[ 5  9 13 17 21 25 29 33],"[0.37228488773035534, 0.5211342528119078, 0.62088368447147, 0.7428564296929824, 0.754272585090402, 0.7448660049055239, 0.7321153987960017, 0.7197840152759777]","[0.41401586 0.51220473 0.58514908 0.64483669 0.69610872 0.74146951
 0.78240502 0.81987859]",$r$,dfa (short)
Shuffled,13.0,[ 5  9 13 17 21 25 29 33],"[0.3115177125368784, 0.44855572644669583, 0.48695943359488464, 0.5228945228949248, 0.5759838817048528, 0.6148232193326131, 0.6630749209994371, 0.7209503635807958]","[0.32561184 0.41401272 0.48114189 0.53688531 0.58530494 0.62852765
 0.66782739 0.70403657]",$r$,dfa (short)
Trace,14.0,[ 5  9 13 17 21 25 29 33],"[0.5122801174733823, 0.6307597763132358, 0.7019571512080854, 0.749060577185055, 0.7664093965971547, 0.7646664940158932, 0.7760112101568143, 0.7770423088160064]","[0.54391101 0.61817261 0.66970311 0.7099859  0.74341514 0.77217991
 0.79754151 0.82029815]",$r$,dfa (short)
Shuffled,14.0,[ 5  9 13 17 21 25 29 33],"[0.5031757590777943, 0.6697179365196345, 0.7746649981245128, 0.8507631422219998, 0.9138702692562753, 0.943486076800637, 0.9641062614791253, 0.9751563360982621]","[0.53205303 0.6545459  0.74513622 0.81903909 0.88237718 0.93830991
 0.98870824 1.03478323]",$r$,dfa (short)
