dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,10.0,[ 5  9 13 17 21 25 29 33],"[0.5528384163159413, 0.642229660089853, 0.6543546013495012, 0.6794787857523451, 0.6834562596545803, 0.6857916520612681, 0.6986611571939911, 0.7044290968701911]","[0.57653254 0.61706263 0.64385506 0.66413183 0.68055226 0.69440619
 0.70642148 0.71705093]",$r$,dfa (short)
Shuffled,10.0,[ 5  9 13 17 21 25 29 33],"[0.5148107724643677, 0.8163756742755658, 0.9324193671718711, 1.0400645343941564, 1.1263865222664444, 1.1952033061272966, 1.270010547993635, 1.3041166916856732]","[0.56668556 0.74715702 0.8882365  1.00769259 1.11299468 1.20811705
 1.29547015 1.37664528]",$r$,dfa (short)
Trace,11.0,[ 5  9 13 17 21 25 29 33],"[0.5726673521512704, 0.7159560386559216, 0.7963549491271984, 0.8407088154745697, 0.877657141271218, 0.8926954543182003, 0.9030326410760833, 0.9109259610580946]","[0.6051765  0.69756553 0.76240713 0.81348207 0.8561112  0.89296192
 0.92557868 0.95494279]",$r$,dfa (short)
Shuffled,11.0,[ 5  9 13 17 21 25 29 33],"[0.5057662547055891, 0.7437665004812349, 0.8747771446027554, 0.9527171538397906, 1.0094455893611038, 1.03014405279492, 1.0487855213885984, 1.0581674902972087]","[0.56235268 0.70286807 0.80811558 0.89471018 0.96940516 1.03570987
 1.09571391 1.15077597]",$r$,dfa (short)
Trace,12.0,[ 5  9 13 17 21 25 29 33],"[0.32430983728571666, 0.5452257433946058, 0.6047785164307747, 0.6671126652225804, 0.736325228574466, 0.7916341318576574, 0.8496187913274779, 0.9039333639431885]","[0.35902866 0.48236329 0.58023722 0.66395135 0.73831269 0.80590027
 0.86828848 0.92652226]",$r$,dfa (short)
Shuffled,12.0,[ 5  9 13 17 21 25 29 33],"[0.37731342909474974, 0.5960823220838201, 0.7374994977463968, 0.8858788968844842, 0.9774673387318255, 1.0761414446122222, 1.2157747129625298, 1.281799625315303]","[0.39372689 0.57287511 0.72435212 0.85956902 0.9836274  1.09936204
 1.20855158 1.31240352]",$r$,dfa (short)
Trace,13.0,[ 5  9 13 17 21 25 29 33],"[0.44419487241373196, 0.6258355680600988, 0.732949939532623, 0.8157912759386494, 0.8613276816055406, 0.9184139963843198, 0.9649995830931719, 0.9858167887630913]","[0.47213139 0.60259061 0.70195876 0.78464132 0.85657141 0.92086086
 0.97937606 1.03333777]",$r$,dfa (short)
Shuffled,13.0,[ 5  9 13 17 21 25 29 33],"[0.4393308133122025, 0.632760095768947, 0.7116787237200057, 0.7709307975179822, 0.8459217544526401, 0.9266596828225921, 0.9882556231167104, 1.0331454444787944]","[0.45983873 0.59374914 0.69669715 0.78289392 0.85823548 0.92583012
 0.98754954 1.04462207]",$r$,dfa (short)
Trace,14.0,[ 5  9 13 17 21 25 29 33],"[0.5196389524083892, 0.694218433858176, 0.7784345271071422, 0.8236554261898937, 0.8695965173833641, 0.8916134402425769, 0.904644507359367, 0.9237322840863113]","[0.55837457 0.66302676 0.73825245 0.7984626  0.84932753 0.89372762
 0.93334787 0.969268  ]",$r$,dfa (short)
Shuffled,14.0,[ 5  9 13 17 21 25 29 33],"[0.5021023820476663, 0.6370111526252136, 0.735554126167528, 0.8584043671685492, 0.9388674965801257, 1.0101464007055776, 1.0832642291305892, 1.1330351265211904]","[0.49575768 0.64226538 0.75519862 0.8499253  0.93283476 1.00730029
 1.07535554 1.13833635]",$r$,dfa (short)
Trace,15.0,[ 5  9 13 17 21 25 29 33],"[0.44507670519235565, 0.6373292818973891, 0.6920553045378438, 0.7204392318816569, 0.7326549981444072, 0.7331159763177837, 0.7407532690285369, 0.7424694798552487]","[0.50437466 0.58189391 0.63633856 0.67924457 0.7150686  0.74604572
 0.77347043 0.79816546]",$r$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21 25 29 33],"[0.5042834939331983, 0.6937319772864986, 0.8356132861615577, 0.9456008985861246, 1.0127862394628422, 1.071267607620666, 1.1364173019143895, 1.1933184215591754]","[0.52490794 0.68389214 0.80699884 0.91057338 1.00143569 1.08319546
 1.15803309 1.22738311]",$r$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25 29 33],"[0.4868652299223171, 0.6822154679312643, 0.7727434041869348, 0.8360105739745624, 0.8958867269982519, 0.925044475746393, 0.9381339927188779, 0.9627259721276562]","[0.52676504 0.64666102 0.73517931 0.80730913 0.86907409 0.92357959
 0.97266322 1.01751374]",$r$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25 29 33],"[0.4682270819811521, 0.7766660518910307, 0.9304608759747839, 1.014880199759071, 1.0860859349177903, 1.1214657740252734, 1.1428734818988542, 1.1659848946591165]","[0.54078663 0.70794748 0.83787985 0.9474773  1.04380967 1.13062683
 1.21019755 1.28401656]",$r$,dfa (short)
