dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.2943312272097641,-1.2114049732649663,0.008535285906577681,$r$,dfa (short)
Shuffled,1.0,0.5291594551541704,-1.5414398015098203,0.01095865697521456,$r$,dfa (short)
Trace,2.0,0.3970459571574268,-1.4956259515822938,0.01744837562174809,$r$,dfa (short)
Shuffled,2.0,0.6868774834731115,-2.132895642009651,0.019287986336671795,$r$,dfa (short)
Trace,3.0,0.32010249688908704,-1.2267745198145372,0.005643228795257734,$r$,dfa (short)
Shuffled,3.0,0.4491012642814012,-1.381389927746159,0.014114964828588612,$r$,dfa (short)
Trace,4.0,0.24393400000116264,-1.0582747068437757,0.02475589803737161,$r$,dfa (short)
Shuffled,4.0,0.4422154974039159,-1.4214859805728137,0.02894415529076531,$r$,dfa (short)
Trace,5.0,0.6300380737378226,-2.2304507689793636,0.008068328421869659,$r$,dfa (short)
Shuffled,5.0,0.6514077911285313,-2.22825116063154,0.040242342708108406,$r$,dfa (short)
Trace,6.0,0.23559574217115398,-0.9684329941840262,0.02957154960636526,$r$,dfa (short)
Shuffled,6.0,0.5284172954575065,-1.5602517466243637,0.01035950684784483,$r$,dfa (short)
Trace,7.0,0.45787456754760086,-1.6641989886467476,0.025006382338203875,$r$,dfa (short)
Shuffled,7.0,0.5519758467268846,-1.7783509117726035,0.05367267856626399,$r$,dfa (short)
Trace,8.0,0.319489928046225,-1.1438631675947992,0.025573234688069126,$r$,dfa (short)
Shuffled,8.0,0.5645537577929404,-1.603087278343172,0.0230068956674594,$r$,dfa (short)
Trace,9.0,0.37331367384882636,-1.3673835337957128,0.04694589314635815,$r$,dfa (short)
Shuffled,9.0,0.5633553439944983,-1.752811962171158,0.03810301511008204,$r$,dfa (short)
Trace,10.0,0.467785598761432,-1.6960880600484773,0.01162682392053002,$r$,dfa (short)
Shuffled,10.0,0.47248729839992143,-1.5489581830026815,0.00873067281387915,$r$,dfa (short)
Trace,11.0,0.2162814360810441,-1.0820625091816511,0.028189162128466935,$r$,dfa (short)
Shuffled,11.0,0.4102055080437151,-1.378099428679913,0.03155614551916083,$r$,dfa (short)
Trace,12.0,0.27220974945331866,-1.2000835283208708,0.01024776696550649,$r$,dfa (short)
Shuffled,12.0,0.4954248219052812,-1.522772804095891,0.009608527403399784,$r$,dfa (short)
Trace,14.0,0.3297883522933825,-1.3349367175890063,0.012916161539636137,$r$,dfa (short)
Shuffled,14.0,0.5532742444249283,-1.681731370958129,0.02043008130014706,$r$,dfa (short)
Trace,15.0,0.24973062857305134,-1.156304402625643,0.0782945033499599,$r$,dfa (short)
Shuffled,15.0,0.5257628111978597,-1.6095587867379741,0.05245714060802985,$r$,dfa (short)
Trace,16.0,0.5082690693061384,-1.7919061349885603,0.01845742687948033,$r$,dfa (short)
Shuffled,16.0,0.6695872734422207,-1.9877768962518745,0.016630560460396546,$r$,dfa (short)
Trace,17.0,0.4920307607804903,-1.5990382199998365,0.04023135289591252,$r$,dfa (short)
Shuffled,17.0,0.47417717913629814,-1.4520673686314454,0.0132801512371218,$r$,dfa (short)
Trace,18.0,0.1556279973329119,-0.8500167902001861,0.035257642123269976,$r$,dfa (short)
Shuffled,18.0,0.41074491453085504,-1.3029074120297957,0.035531885971538876,$r$,dfa (short)
Trace,19.0,0.34139878790592787,-1.2551062104784898,0.04878485071821493,$r$,dfa (short)
Shuffled,19.0,0.48723142974683487,-1.3941031484778557,0.030950379793352273,$r$,dfa (short)
Trace,20.0,0.3260444801721838,-1.2851877253590873,0.029541913375762265,$r$,dfa (short)
Shuffled,20.0,0.5744746990522458,-1.7026032195502911,0.02632875793490245,$r$,dfa (short)
Trace,21.0,0.5731472941568954,-1.8864287659241712,0.054403113499327686,$r$,dfa (short)
Shuffled,21.0,0.5944728836387755,-1.7567763526519053,0.08990444405920019,$r$,dfa (short)
Trace,22.0,0.24156024346501906,-0.9699771984715715,0.023251553494769532,$r$,dfa (short)
Shuffled,22.0,0.5435214492426834,-1.5713519520388162,0.016983482354479856,$r$,dfa (short)
Trace,24.0,0.2821161530971571,-1.1223591070304015,0.014350656794985435,$r$,dfa (short)
Shuffled,24.0,0.42507002661931975,-1.3776102149755975,0.009033890368154064,$r$,dfa (short)
Trace,25.0,0.3516484139208343,-1.1368542929540861,0.020214009033196124,$r$,dfa (short)
Shuffled,25.0,0.6047764801551326,-1.7474105177649017,0.015235506890086818,$r$,dfa (short)
Trace,26.0,0.48386338196283407,-1.818414189194685,0.015459824909317958,$r$,dfa (short)
Shuffled,26.0,0.6807110548574041,-2.1969319502598466,0.013637063129224278,$r$,dfa (short)
Trace,27.0,0.33944956890103894,-1.1794137486312484,0.02836678960751208,$r$,dfa (short)
Shuffled,27.0,0.5731516523417071,-1.6768442982243985,0.014309573217861778,$r$,dfa (short)
Trace,28.0,0.3938027389860536,-1.4440855596639939,0.022701294692263084,$r$,dfa (short)
Shuffled,28.0,0.499542838598296,-1.4208913227094055,0.02190427169495183,$r$,dfa (short)
Trace,29.0,0.19577277815761326,-0.9641928933289166,0.0628568028793324,$r$,dfa (short)
Shuffled,29.0,0.6234375248715418,-1.9884673732835103,0.04214626763213096,$r$,dfa (short)
Trace,30.0,0.32967699025242464,-1.2656354697155061,0.00553831815971831,$r$,dfa (short)
Shuffled,30.0,0.6704546016995574,-1.9002247799712277,0.014119768570559264,$r$,dfa (short)
Trace,31.0,0.4167517447381049,-1.6076521409917337,0.015839809399518075,$r$,dfa (short)
Shuffled,31.0,0.34707236387842993,-1.3495578911442858,0.018341472520134152,$r$,dfa (short)
Trace,32.0,0.2083482379954385,-0.86954342061766,0.02719640126439086,$r$,dfa (short)
