dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13 17 21 25 29 33],"[0.28510859038916536, 0.5387337442986532, 0.6145516558190058, 0.669426542629601, 0.7659071826543286, 0.8042557319335605, 0.8389922839426377, 0.9053990676259404]","[0.33208296 0.46159319 0.56719125 0.65917406 0.74201581 0.81815316
 0.88909115 0.95583834]",$r$,dfa (short)
Shuffled,1.0,[ 5  9 13 17 21 25 29 33],"[0.38993167684676205, 0.5244496509324308, 0.6417765323538892, 0.8044099643986815, 0.92656617328866, 1.0353504800361137, 1.1576711687340924, 1.2422453505236093]","[0.37211665 0.53970281 0.68104419 0.80699759 0.92240712 1.02996071
 1.13134303 1.22769671]",$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29 33],"[0.4866706363755818, 0.7098882794506562, 0.8204341472950923, 0.8651272778381521, 0.877132185511196, 0.8908842460879697, 0.9118500640135455, 0.9239835245209892]","[0.54966534 0.66085891 0.74159022 0.80664136 0.86187482 0.9102851
 0.9536315  0.99304534]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29 33],"[0.4765959227767145, 0.6843006471093092, 0.8595859870434345, 1.0177453609406386, 1.0976024677483833, 1.1459988806529402, 1.1927771849577602, 1.2250849081451225]","[0.50592062 0.68203212 0.82216767 0.94224819 1.04906038 1.14625083
 1.23604829 1.31993338]",$r$,dfa (short)
Trace,3.0,[ 5  9 13 17 21 25 29 33],"[0.4531982341334105, 0.6348276437298015, 0.7491532447656255, 0.7746257735916398, 0.7964035819977053, 0.8312676349192014, 0.8402987212137346, 0.8512199936847917]","[0.50114547 0.60347396 0.67786295 0.73785448 0.78882459 0.83352124
 0.87355976 0.90997937]",$r$,dfa (short)
Shuffled,3.0,[ 5  9 13 17 21 25 29 33],"[0.5285132583711879, 0.7335264999097114, 0.8282326736317916, 0.9061387218006595, 0.9636110122141598, 0.9988132122204352, 1.041141236618232, 1.0829251221416318]","[0.56347759 0.69764282 0.79737468 0.87901484 0.94916591 1.01124458
 1.06727866 1.11858312]",$r$,dfa (short)
Trace,4.0,[ 5  9 13 17 21 25 29 33],"[0.4663614440572194, 0.7321396680113921, 0.7835016524024533, 0.8267343501703198, 0.9126187077385114, 0.9534026804623159, 0.9857990415951988, 1.0231056133866074]","[0.518896   0.64938457 0.74722234 0.8277759  0.89729619 0.95903336
 1.01492353 1.06622604]",$r$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21 25 29 33],"[0.3803514410567313, 0.6041292630327842, 0.7839710791314176, 0.8869564852964834, 0.9564104765374492, 0.9688694612897485, 0.9880485241870157, 1.013039994263314]","[0.43078686 0.5815519  0.70165182 0.8046408  0.89630168 0.97974359
 1.05686767 1.12893743]",$r$,dfa (short)
Trace,5.0,[ 5  9 13 17 21 25 29 33],"[0.2970806248706332, 0.36874949354198966, 0.3832159560536168, 0.38197165729399474, 0.3880522131504877, 0.39086314465042327, 0.39057924674644673, 0.39216432912448035]","[0.32117879 0.3458551  0.36224788 0.3746949  0.38479971 0.39334217
 0.40076327 0.40733787]",$r$,dfa (short)
Shuffled,5.0,[ 5  9 13 17 21 25 29 33],"[0.3466561576187026, 0.5018389973113715, 0.590494078605198, 0.7421435635916399, 0.8550891116745319, 0.9692738858271788, 1.1254311081130062, 1.2609634098859575]","[0.33249172 0.49485399 0.6346254  0.76091383 0.87784879 0.98774783
 1.09207641 1.1918358 ]",$r$,dfa (short)
