div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation,start_time,end_time
,-0.0210168544835998,,-0.9801967731972536,-0.04188596491228058,-0.9594845567036709,-1.9396813299009237,0.12088294695836699,1.0,0.0,0.05,0.36666666666666664
-0.12886513351376483,-0.07125286362196914,-0.020146113558678125,-1.333077372338709,-0.09188596491228057,-1.1045553345592478,-2.437632706897956,0.28831425145000855,1.0,1.0,0.38333333333333336,0.65
0.12953672870083888,0.18597576899930046,-0.022769925514433464,-0.34067719110925365,0.058114035087719396,-1.3750987019723593,-1.715775893081612,0.1622203297038538,1.0,2.0,0.6666666666666666,1.0833333333333333
0.011429037990926316,0.02895026612362228,0.003500714095606705,-0.6350710803014108,-0.008552631578947367,-0.8640655219494793,-1.4991366022508892,0.08291404011651271,1.0,3.0,1.1,1.45
0.24046203098206997,0.29718029403809454,-0.03291810599645051,0.9244000284396332,0.10811403508771955,-0.9455568159819707,-0.02115678754233663,0.19276311305823746,1.0,4.0,1.4666666666666666,1.9333333333333333
-0.15212509300313637,-0.1267594852820525,-0.00467415590451381,-0.8701745588345045,-0.12521929824561406,-0.0005165217152676149,-0.8706910805497712,0.34544565069933597,1.0,5.0,1.95,2.183333333333333
0.07472404068444405,0.1732777531696228,-0.04091219947292929,0.44257645837848747,0.12478070175438571,-0.6758779545771909,-0.23330149619870255,-0.13150308550259915,1.0,6.0,2.2,2.683333333333333
-0.16926941063489098,-0.15761954657755933,0.001314609749760276,-1.0986733595354754,-0.10855263157894723,-0.07366756324325552,-1.17234092277873,0.08052208259749993,1.0,7.0,2.7,2.95
-0.2232248329953599,-0.19193314814520512,-0.014900727694780902,-1.6175402311862581,-0.12521929824561384,-0.6755672980779797,-2.293107529264237,0.06612995271439437,1.0,8.0,2.966666666666667,3.2
-0.020912210433559064,0.044753283319693415,-0.021618236285446124,-0.9564338188966541,0.04144736842105268,-1.2950217816752616,-2.251455600571915,-0.11004319604509583,1.0,9.0,3.216666666666667,3.6166666666666667
0.05647942180353893,0.09949582335402685,-0.011595142304264838,-0.6182816720854696,0.02478070175438607,-1.2261792661524478,-1.8444609382379165,0.10523129956849897,1.0,10.0,3.6333333333333333,4.016666666666667
-0.029567676499746565,-0.020352503116652043,0.008484142707907316,-0.9347285574247737,-0.008552631578946701,-0.9084236780931603,-1.843152235517933,-0.057951014855702976,1.0,11.0,4.033333333333333,4.383333333333334
0.2487190577271463,0.19829010096445188,0.02338380601342116,0.4155134135127603,0.09144736842105206,-0.8313574332857265,-0.41584401977296537,0.04595406571518357,1.0,12.0,4.4,4.85
-0.07306493576409623,-0.05893667915012302,0.0052731875894086455,-0.5526722508926469,-0.09188596491227974,-0.14647111996288364,-0.6991433708555297,0.3344999432194249,1.0,13.0,4.866666666666666,5.133333333333334
-0.12755245415726824,-0.08384980447874946,-0.012794896636450392,-0.8976465255699333,-0.07521929824561402,-0.41408541826576695,-1.3117319438356994,0.1223769046291503,1.0,14.0,5.15,5.433333333333334
-0.035914755392473796,0.007731460638178866,-0.01007532377726772,-0.6247701744444139,-0.00855263157894759,-0.7214136955413317,-1.3461838699857447,0.022288881586675302,1.0,15.0,5.45,5.8
-0.06322482619154624,0.01870725508018023,-0.030246314438908795,-0.680899433710493,-0.008552631578946701,-0.8530412257434805,-1.5339406594539726,0.05364829427810336,1.0,16.0,5.816666666666666,6.166666666666667
0.24632483854727671,0.28620992718596794,-0.024964853885801608,0.8864649545145564,0.12478070175438616,-0.9199777248896961,-0.03351277037513878,0.10214968832432025,1.0,17.0,6.183333333333334,6.666666666666667
0.03790032460102122,0.05752998458133296,0.00161677555002393,0.39957698700195277,0.024780701754385626,0.036494417677237934,0.4360714046791916,-0.0042448015776568315,1.0,18.0,6.683333333333334,7.066666666666666
-0.07573750844612126,-0.057390051805607634,0.00291148664707519,-0.20407476254235046,-0.07521929824561402,0.3002222516794415,0.09614748913709192,0.2157642670049451,1.0,19.0,7.083333333333333,7.366666666666666
-0.07782013215151118,-0.02869178804191852,-0.013586808529349792,-0.24215656226382176,-0.041885964912280804,-0.0007231006469439194,-0.2428796629107648,0.09664631466894069,1.0,20.0,7.383333333333334,7.7
-0.10202957662279033,-0.05556635389468856,-0.012999657153533128,-0.5533260166806468,-0.07521929824561402,-0.1751044589986237,-0.7284304756792697,0.22220084786701233,1.0,21.0,7.716666666666667,8.0
-0.10348274032252569,-0.06475147266939774,-0.008972961183721706,-0.7823186217113398,-0.07521929824561402,-0.40566895830418437,-1.1879875800155233,0.18978278160333284,1.0,22.0,8.016666666666667,8.3
-0.05176510152845348,0.03452620443277299,-0.032296339811923036,-0.5304856968488223,-0.00855263157894759,-0.7843126736188268,-1.3147983704676482,0.09884529242837292,1.0,23.0,8.316666666666666,8.666666666666666
-0.015365428419356952,0.03754015883764483,-0.015000207662982934,-0.4821996419689283,-0.02521929824561331,-0.7508756280632847,-1.233075270032212,0.20166962991929038,1.0,24.0,8.683333333333334,9.016666666666667
-0.06656280649563184,-0.05710631352733553,0.007972924103860302,-0.8674810429246835,-0.058552631578946523,-0.576269965881727,-1.4437510088064096,0.10601181348236244,1.0,25.0,9.033333333333333,9.333333333333334
0.17744912413993785,0.21784715010108213,-0.01829354027391472,0.5378540776546936,0.10811403508771955,-0.8367140565111288,-0.29885997885643434,0.022763518907496616,1.0,26.0,9.35,9.816666666666666
