div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation,start_time,end_time,trap_ID,trace,dataset
,-0.0334187560188095,,-0.4224693671965847,-0.1000000000000002,-0.08573388272358962,-0.5082032499201734,0.17598728268964936,1,0,0.55,1.0,1,A,NL
0.12076800522356224,0.11615628024451441,0.00479147416051251,0.2636497269977349,-1.1102230246251565e-16,-0.24900432695628627,0.014645400041449541,0.20334797491163115,1,1,1.05,1.6,1,A,NL
0.04894898718339702,0.022831331784192166,0.01816710202364291,0.06355212470963867,-0.050000000000000155,0.09971322093188473,0.16326534564152428,0.1539608027544188,1,2,1.65,2.15,1,A,NL
0.25119784235158593,0.15438839023849815,0.044458152260953177,1.204483820753261,0.09999999999999976,0.33778658186492194,1.5422704026181835,0.05099318295863409,1,3,2.2,2.85,1,A,NL
-0.09790151500638444,-0.11331037547382239,0.008486683547886176,-0.19963080532428412,-0.09999999999999998,0.835729860271567,0.6360990549472838,-0.0015496494326019405,1,4,2.9,3.35,1,A,NL
-0.044104568183730763,-0.07381415945900482,0.018953015123127193,-0.24163067785024017,1.1102230246251565e-16,0.43358605978319575,0.19195538193295647,-0.14205282454931334,1,5,3.4,3.95,1,A,NL
1.4831643683987927e-05,-0.03488325570122963,0.02284403016562475,-0.17516942103307498,0.04999999999999949,0.22200614301708876,0.04683672198401467,-0.1627701889674682,1,6,4.0,4.6,1,A,NL
0.007042975591523781,-0.025022238843624645,0.021411913943665928,-0.18906206514623491,0.09999999999999931,0.13604388210526253,-0.0530181830409715,-0.22502316947540024,1,7,4.65,5.3,1,A,NL
-0.06367655888716772,-0.10998028525484138,0.026929253532224084,-0.6799884114623933,-0.050000000000000155,0.11516863058577309,-0.5648197808766193,-0.11166243132364828,1,8,5.35,5.85,1,A,NL
-0.07774148234284994,-0.015556160766198701,-0.02906449936369565,-0.6480155532674119,0.04999999999999949,-0.45888442264101537,-1.1068999759084264,-0.13055836407574994,1,9,5.9,6.5,1,A,NL
