value,type,lineage_ID
0,outsider,1
871,end,1
934,end,1
984,end,1
1058,end,1
1122,end,1
1181,end,1
1218,end,1
1272,end,1
1298,end,1
1350,end,1
1411,end,1
1463,end,1
1514,end,1
1565,end,1
1647,end,1
821,end,1
1737,end,1
768,end,1
662,end,1
3514,start,1
3573,start,1
3631,start,1
71,end,1
111,end,1
150,end,1
193,end,1
243,end,1
294,end,1
360,end,1
413,end,1
462,end,1
507,end,1
546,end,1
592,end,1
720,end,1
3448,start,1
1786,end,1
1873,end,1
2881,end,1
2940,end,1
3008,end,1
3094,end,1
3137,end,1
3189,end,1
3238,end,1
3276,end,1
3338,end,1
3395,end,1
3447,end,1
3513,end,1
3572,end,1
3630,end,1
3678,end,1
2826,end,1
1829,end,1
2774,end,1
2685,end,1
1926,end,1
1985,end,1
2047,end,1
2101,end,1
2144,end,1
2194,end,1
2196,end,1
2252,end,1
2318,end,1
2379,end,1
2437,end,1
2483,end,1
2536,end,1
2590,end,1
2635,end,1
2735,end,1
3396,start,1
1684,end,1
3277,start,1
508,start,1
547,start,1
593,start,1
663,start,1
721,start,1
769,start,1
822,start,1
872,start,1
935,start,1
985,start,1
1059,start,1
1123,start,1
1182,start,1
1219,start,1
1273,start,1
463,start,1
1299,start,1
414,start,1
295,start,1
3339,start,1
1182,outsider,1
2195,outsider,1
2197,outsider,1
71,outsider,1
1181,outsider,1
1218,outsider,1
2196,outsider,1
2252,outsider,1
0,start,1
72,start,1
112,start,1
151,start,1
194,start,1
244,start,1
361,start,1
1351,start,1
1123,outsider,1
1464,start,1
2484,start,1
2537,start,1
2591,start,1
2636,start,1
2686,start,1
2736,start,1
2775,start,1
2827,start,1
2882,start,1
2941,start,1
3009,start,1
3095,start,1
3138,start,1
3190,start,1
1412,start,1
2438,start,1
2380,start,1
3239,start,1
2253,start,1
2319,start,1
1515,start,1
1566,start,1
1648,start,1
1685,start,1
1787,start,1
1830,start,1
1738,start,1
1927,start,1
1986,start,1
2048,start,1
2102,start,1
2145,start,1
2195,start,1
2197,start,1
1874,start,1
1135,end,2
864,end,2
921,end,2
977,end,2
1054,end,2
1091,end,2
1196,end,2
1630,end,2
1299,end,2
1349,end,2
1407,end,2
1458,end,2
1527,end,2
1586,end,2
3481,start,2
1242,end,2
777,end,2
370,end,2
684,end,2
1680,end,2
3514,start,2
3577,start,2
3632,start,2
54,end,2
97,end,2
153,end,2
201,end,2
260,end,2
316,end,2
432,end,2
478,end,2
527,end,2
578,end,2
627,end,2
725,end,2
1722,end,2
2742,end,2
1826,end,2
3027,end,2
3071,end,2
3119,end,2
3191,end,2
3234,end,2
3272,end,2
3321,end,2
3371,end,2
3434,end,2
3480,end,2
3513,end,2
3576,end,2
3631,end,2
3703,end,2
3435,start,2
2964,end,2
